run_id,mode,algorithm,backend,threads,base_n,query_n,k,nlist,nprobe,p,recall,latency_us,speedup,build_ms,notes
20260525_173953,official,ivf_batch_pthread,pthread_query_batch,1,100000,2000,10,128,32,1500,0.9952,3413.0665,0,906.89,phase3-4: IVF query-level batch parallel; wall_time_per_query
20260525_174019,official,ivf_batch_pthread,pthread_query_batch,2,100000,2000,10,128,32,1500,0.9952,3280.259,0,887.06,phase3-4: IVF query-level batch parallel; wall_time_per_query
20260525_174040,official,ivf_batch_pthread,pthread_query_batch,4,100000,2000,10,128,32,1500,0.9952,1705.749,0,900.09,phase3-4: IVF query-level batch parallel; wall_time_per_query
20260525_174100,official,ivf_batch_pthread,pthread_query_batch,8,100000,2000,10,128,32,1500,0.9952,924.4165,0,889.368,phase3-4: IVF query-level batch parallel; wall_time_per_query
20260525_181533,official,ivfpq,serial,1,100000,2000,10,128,32,1500,0.9609,1585.711,0,1288.258,phase5: IVF-PQ baseline + IVF-PQ MT
20260525_181555,official,ivfpq_omp,openmp,1,100000,2000,10,128,32,1500,0.9609,2029.6905,0,1293.186,phase5: IVF-PQ baseline + IVF-PQ MT
20260525_181616,official,ivfpq_omp,openmp,2,100000,2000,10,128,32,1500,0.9609,1098.0735,0,1288.031,phase5: IVF-PQ baseline + IVF-PQ MT
20260525_181637,official,ivfpq_omp,openmp,4,100000,2000,10,128,32,1500,0.9609,782.345,0,1298.529,phase5: IVF-PQ baseline + IVF-PQ MT
20260525_181659,official,ivfpq_omp,openmp,8,100000,2000,10,128,32,1500,0.9609,585.651,0,1295.908,phase5: IVF-PQ baseline + IVF-PQ MT
20260525_181714,official,ivfpq_pthread,pthread,1,100000,2000,10,128,32,1500,0.9609,2144.7745,0,1289.816,phase5: IVF-PQ baseline + IVF-PQ MT
20260525_181736,official,ivfpq_pthread,pthread,2,100000,2000,10,128,32,1500,0.9609,1492.082,0,1284.929,phase5: IVF-PQ baseline + IVF-PQ MT
20260525_181756,official,ivfpq_pthread,pthread,4,100000,2000,10,128,32,1500,0.9609,1102.8635,0,1267.019,phase5: IVF-PQ baseline + IVF-PQ MT
20260525_181818,official,ivfpq_pthread,pthread,8,100000,2000,10,128,32,1500,0.9609,1430.7435,0,1296.313,phase5: IVF-PQ baseline + IVF-PQ MT
20260525_181839,official,ivfpq_batch_omp,openmp_query_batch,1,100000,2000,10,128,32,1500,0.9609,1832.262,0,1274.51,phase5: IVF-PQ query-level batch parallel; wall_time_per_query
20260525_181859,official,ivfpq_batch_omp,openmp_query_batch,2,100000,2000,10,128,32,1500,0.9609,905.064,0,1278.954,phase5: IVF-PQ query-level batch parallel; wall_time_per_query
20260525_181921,official,ivfpq_batch_omp,openmp_query_batch,4,100000,2000,10,128,32,1500,0.9609,492.715,0,1279.557,phase5: IVF-PQ query-level batch parallel; wall_time_per_query
20260525_181938,official,ivfpq_batch_omp,openmp_query_batch,8,100000,2000,10,128,32,1500,0.9609,270.385,0,1291.097,phase5: IVF-PQ query-level batch parallel; wall_time_per_query
20260525_181953,official,ivfpq_batch_pthread,pthread_query_batch,1,100000,2000,10,128,32,1500,0.9609,1740.5555,0,1281.236,phase5: IVF-PQ query-level batch parallel; wall_time_per_query
20260525_182014,official,ivfpq_batch_pthread,pthread_query_batch,2,100000,2000,10,128,32,1500,0.9609,892.33,0,1280.638,phase5: IVF-PQ query-level batch parallel; wall_time_per_query
20260525_182036,official,ivfpq_batch_pthread,pthread_query_batch,4,100000,2000,10,128,32,1500,0.9609,532.094,0,1276.383,phase5: IVF-PQ query-level batch parallel; wall_time_per_query
20260525_182058,official,ivfpq_batch_pthread,pthread_query_batch,8,100000,2000,10,128,32,1500,0.9609,302.693,0,1286.384,phase5: IVF-PQ query-level batch parallel; wall_time_per_query
20260525_201031,official,hnsw,serial,1,100000,2000,10,0,40,100,0.95645,214.235,0,45289.394,phase6: HNSW baseline; M=16; efConstruction=100; efSearch=40; loaded=no
